date,matchup,player,category,direction,line,proj,actual,edge,result
2026-06-16,LV@DAL,Alysha Clark,starters,OVER,5.0,6.3,0.0,1.3,MISS
2026-06-16,LV@DAL,Sug Sutton,bench,OVER,5.0,6.1,4.0,1.1,MISS
2026-06-16,LV@DAL,Alanna Smith,bench,OVER,5.0,6.4,4.0,1.4,MISS
2026-06-16,LV@DAL,Maddy Siegrist,bench,OVER,5.0,6.6,5.0,1.6,MISS
2026-06-16,LV@DAL,Aziaha James,bench,OVER,5.0,6.6,10.0,1.6,HIT
2026-06-16,LV@DAL,Li Yueru,bench,OVER,5.0,5.7,0.0,0.7,MISS
2026-06-16,LV@DAL,Awak Kuier,bench,OVER,4.0,5.2,7.0,1.2,HIT
2026-06-16,LA@GS,Nneka Ogwumike,starters,OVER,8.0,9.9,9.0,1.9,HIT
2026-06-16,LA@GS,Kelsey Plum,starters,OVER,8.0,9.4,9.0,1.4,HIT
2026-06-16,LA@GS,Ariel Atkins,starters,OVER,7.0,8.5,6.0,1.5,MISS
2026-06-16,LA@GS,Dearica Hamby,starters,OVER,6.0,7.8,6.0,1.8,MISS
2026-06-16,LA@GS,Erica Wheeler,starters,OVER,5.0,6.8,0.0,1.8,MISS
2026-06-16,LA@GS,Cameron Brink,bench,OVER,5.0,6.1,10.0,1.1,HIT
2026-06-16,LA@GS,Rae Burrell,bench,OVER,5.0,5.7,13.0,0.7,HIT
2026-06-16,LA@GS,Kate Martin,bench,OVER,4.0,5.0,3.0,1.0,MISS
2026-06-16,LA@GS,Chance Gray,bench,OVER,3.0,4.2,0.0,1.2,MISS
2026-06-16,LA@GS,Jihyun Park,bench,OVER,3.0,3.5,2.0,0.5,MISS
2026-06-16,LA@GS,Sania Feagin,bench,OVER,3.0,3.8,0.0,0.8,MISS
2026-06-16,LA@GS,Ta'Niya Latson,bench,OVER,3.0,4.0,0.0,1.0,MISS
2026-06-16,LA@GS,Tiffany Hayes,starters,OVER,7.0,8.4,4.0,1.4,MISS
2026-06-16,LA@GS,Janelle Salaun,starters,OVER,7.0,8.1,7.0,1.1,MISS
2026-06-16,LA@GS,Gabby Williams,starters,OVER,5.0,6.8,16.0,1.8,HIT
2026-06-16,LA@GS,Kayla Thornton,starters,OVER,5.0,6.3,6.0,1.3,HIT
2026-06-16,LA@GS,Veronica Burton,starters,OVER,5.0,5.7,12.0,0.7,HIT
2026-06-16,LA@GS,Kiah Stokes,bench,OVER,4.0,4.6,4.0,0.6,MISS
2026-06-16,LA@GS,Kaila Charles,bench,OVER,4.0,5.4,13.0,1.4,HIT
2026-06-16,LA@GS,Cecilia Zandalasini,bench,OVER,5.0,5.7,10.0,0.7,HIT
2026-06-16,LA@GS,Kaitlyn Chen,bench,OVER,4.0,4.6,6.0,0.6,HIT
2026-06-16,LA@GS,Laeticia Amihere,bench,OVER,4.0,4.7,0.0,0.7,MISS
2026-06-16,LA@GS,Juste Jocyte,bench,OVER,4.0,5.0,0.0,1.0,MISS
2026-06-16,POR@MIN,Bridget Carleton,starters,OVER,5.0,6.1,3.0,1.1,MISS
2026-06-16,POR@MIN,Luisa Geiselsoder,starters,OVER,5.0,6.2,9.0,1.2,HIT
2026-06-16,POR@MIN,Carla Leite,starters,OVER,6.0,7.0,10.0,1.0,HIT
2026-06-16,POR@MIN,Sarah Ashlee Barker,starters,OVER,5.0,5.9,8.0,0.9,HIT
2026-06-16,POR@MIN,Nyadiew Puoch,starters,OVER,4.0,5.3,3.0,1.3,MISS
2026-06-16,POR@MIN,Emily Engstler,bench,OVER,5.0,5.8,9.0,0.8,HIT
2026-06-16,POR@MIN,Teja Oblak,bench,OVER,5.0,6.2,9.0,1.2,HIT
2026-06-16,POR@MIN,Frieda Buhner,bench,OVER,5.0,5.7,10.0,0.7,HIT
2026-06-16,POR@MIN,Megan Gustafson,bench,OVER,5.0,5.8,9.0,0.8,HIT
2026-06-16,POR@MIN,Serah Williams,bench,OVER,4.0,5.3,2.0,1.3,MISS
2026-06-16,POR@MIN,Holly Winterburn,bench,OVER,4.0,4.9,2.0,0.9,MISS
2026-06-16,POR@MIN,Olivia Miles,starters,OVER,8.0,9.8,12.0,1.8,HIT
2026-06-16,POR@MIN,Kayla McBride,starters,OVER,7.0,8.6,14.0,1.6,HIT
